"id_arbol","direccion","tipo_vereda","lado_vereda","especie","tipo_tendido","distancia_entre_ar","distancia_al_muro","activo","lng","lat"
9163,"9 de Julio 646",Mediana,Par,Paraíso,Media Tensión (Con Protección),0.0,2.0,true,-58.8422405286530008,-27.4660688438249991
9164,Tucumán 820,Grande,Impar,Citricos,Media Tensión (Con Protección),28.0,2.0,true,-58.8416916473530023,-27.4663371476230012
9165,puerto,Grande,Par,Lapacho rosado,Ninguno,7.0,0.0,true,-58.8378705576390004,-27.461636502535999
9166,puerto,Grande,Par,Jacarandá,Ninguno,8.0,0.0,true,-58.8378592027889979,-27.4616364157929986
9167,puerto,Grande,Par,Tipa Blanca,Ninguno,6.0,0.0,true,-58.8378643437800051,-27.4616470853899983
9168,puerto,Grande,Par,Aguaribay,Ninguno,6.0,0.0,true,-58.8378611851270037,-27.4616532271630014
9169,puerto,Grande,Par,Jacarandá,Ninguno,3.0,0.0,true,-58.8378475605760087,-27.4616568101209992
9170,Tucumán 850,Chica,Impar,Paraíso,Media Tensión (Con Protección),15.0,3.0,true,-58.8417052802640086,-27.4665196003359995
9171,Tucumán 856,Grande,Impar,Paraíso,Media Tensión (Con Protección),11.0,3.0,true,-58.8417110030169965,-27.4666467815869986
9172,Tucumán 860,Grande,Impar,Citricos,Media Tensión (Con Protección),11.0,2.0,true,-58.8416962448689986,-27.4667207924290011
9173,Tucumán 874,Grande,Impar,Paraíso,Media Tensión (Con Protección),0.0,3.0,true,-58.8416987438940069,-27.4668810334210001
9174,Junín 643,Grande,Impar,Fresno,Media Tensión (Con Protección),47.0,3.0,true,-58.842152622569003,-27.4670648046639982
9175,Junín 603,Grande,Impar,Pata de Buey,Alta tensión (Con Protección),0.0,3.0,true,-58.8419316626039972,-27.4670601007220014
9176,San Luis 800,Mediana,Impar,Palmera,Alta tensión (Con Protección),3.5,2.0,true,-58.8427636134859995,-27.4660904759310007
9177,San Luis 800,Mediana,Impar,Palmera,Alta tensión (Con Protección),7.0,2.0,true,-58.8427653515810007,-27.4661095038830005
9178,San Luís 803,Mediana,Impar,Palmera,Alta tensión (Con Protección),3.0,2.0,true,-58.8427676899090031,-27.4661231951770013
9179,San Luís 803,Mediana,Impar,Palmera,Alta tensión (Con Protección),3.0,2.0,true,-58.8427746649789896,-27.4661623538640036
9180,Av. Costanera,Grande,Impar,Pata de Buey,Ninguno,10.0,0.0,true,-58.8412248546400036,-27.4609765694549992
9181,Av. Costanera,Grande,Par,Lapacho rosado,Ninguno,4.0,0.0,true,-58.8411698086179982,-27.4609864930690009
9182,Av. Costanera,Grande,Par,Pata de Buey,Ninguno,4.0,0.0,true,-58.8411176558069968,-27.4610052769529993
9183,Av. Costanera,Grande,Par,Tipa Blanca,Ninguno,2.0,0.0,true,-58.8410262942620079,-27.4609835148379986
9184,Av. Costanera,Grande,Par,Pata de Buey,Ninguno,6.0,0.0,true,-58.8410072742650101,-27.4609406612629989
9185,Av. Costanera,Grande,Par,Lapacho rosado,Ninguno,5.0,0.0,true,-58.8411299128349938,-27.4608908102340017
9186,Av. Costanera,Grande,Par,Lapacho rosado,Ninguno,5.0,0.0,true,-58.8410533005520051,-27.4608745654199993
9187,Av. Costanera,Grande,Impar,Pino,Ninguno,10.0,0.0,true,-58.8409679516829982,-27.4608555403730037
9188,Av. Costanera,Chica,Impar,Lapacho rosado,Ninguno,13.0,0.0,true,-58.8410666928350068,-27.4608036358669985
9189,Av. Costanera,Grande,Impar,Thuja,Ninguno,4.0,0.0,true,-58.8409483248220084,-27.4608340143769993
9190,Av. Costanera,Grande,Impar,Thuja,Ninguno,6.0,0.0,true,-58.8409291138680075,-27.4608152869900017
9191,Av. Costanera,Grande,Impar,Lapacho rosado,Ninguno,12.0,0.0,true,-58.8409720243829995,-27.4607894634329988
9192,Av. Costanera,Grande,Par,Jazmín magno,Ninguno,3.0,0.0,true,-58.8408665469020065,-27.4607341921349999
9193,Av. Costanera,Grande,Par,Jazmín magno,Ninguno,6.0,0.0,true,-58.8409001887579919,-27.4607173610590003
9194,Av. Costanera,Grande,Par,Pino,Ninguno,10.0,0.0,true,-58.8409524284240035,-27.4606867780350008
9195,puerto,Grande,Par,Tecoma Lapachillo,Ninguno,10.0,0.0,true,-58.8378572097780008,-27.4616633899379998
9196,puerto,Grande,Par,Lapacho rosado,Ninguno,6.0,0.0,true,-58.8378394435269954,-27.4616478189769992
9197,puerto,Grande,Par,Palmera,Ninguno,7.0,0.0,true,-58.8378343572790001,-27.4616527432740014
9198,puerto,Chica,Par,Paraíso,Ninguno,7.0,0.0,true,-58.8378393144139977,-27.4616694489020006
9199,puerto,Grande,Par,Coquito de San Juan,Ninguno,23.0,0.0,true,-58.837808725869003,-27.4615959783829986
9200,San Luis 863,Mediana,Impar,Fresno,Media Tensión (Con Protección),53.0,3.0,true,-58.8428526587609966,-27.4667655579369985
9201,San Luís 831,Mediana,Impar,Citricos,Media Tensión (Con Protección),17.0,3.0,true,-58.8428270966399936,-27.4664386097249995
9202,San Luís 817,Mediana,Impar,Fresno,Media Tensión (Sin Protección),18.0,3.0,true,-58.8428045482470026,-27.4662944816969983
9203,Santa Fe  775,Chica,Impar,Naranjo agrio,Alta tensión (Con Protección),1.5,1.6,true,-58.8302789604460017,-27.4667475794739993
9204,Santa Fe 775,Chica,Impar,Crespón,Alta tensión (Con Protección),1.5,1.6,true,-58.8302861836339943,-27.4666998345709992
